V Pražské bráně
Za Městskou horou
Na Suchých lukách
samota Nad Eternitkou
samota Pod Vinicí
U Železničního mostu
nábřeží Hynka Šlosara
náměstí Boženy Němcové
Sídl. Karla Sezimy
Náměstí 5. května
nám. Jana Husa
nám. 1. máje
Na Našem Poli
sady Sv. Čecha
Hájka z Libočan
nám. 9. května
Dr. K. Chmelenského
T. G. Masaryka
K. H. Máchy
K. J. Mašky
nám. Dr. Snětiny
náměstí 9. května
U Vážné studny
nám. U Pivovaru
U Staré školy
U Hrubé lípy
Pod Hotelem Rudka
nám. Krále Jiřího
Pod Starou farou
nám. 1. máje
nám. 1. máje
nám. 9. května
náměstí Karla IV.
náměstí Vojtěšky Matyášové
náměstí 28. dubna
náměstí 3. května
náměstí 28. října
Pod Mniší horou
sady Národního odboje
U lípy Svobody
U Velké ceny
U zoologické zahrady
třída Kpt. Jaroše
ulice 1. května
U Červeného mlýna
U Kněží hory
Na pískové cestě
V Nové čtvrti
třída Generála Píky
U Křivé borovice
U Vránova mlýna
S. K. Neumanna
ul. 9. května
náměstí Rudé armády
Jiřího z Poděbrad
B. M. Kuldy
U Malovaného mlýna
U nové brány
K. H. Máchy
nám. 1. května
náměstí 13. prosince
náměstí Viléma Mrštíka
U Boží muky
nám. Zbyňka Fialy
nám. 28. října
nám. sv. Jana
Na Bílém potoce
náměstí Na Městečku
čtvrť P. Bezruče
J. A. Komenského
J. E. Purkyně
K. H. Máchy
nám. J. Žižky
Dr. E. Beneše
tř. Obr. míru
nám. 1. máje
E. F. Buriana
I. P. Pavlova
Na Dolním pastvišti
U Nových staveb
náměstí 9. května
U Sedmi Dvorů
U Staré slévárny
Karla Havlíčka Borovského
nám. Sv. Michala
Karla Hynka Máchy
sídl. Dukelských hrdinů
Sady 28. října
nábřeží Antonína Dvořáka
náměstí Petra Bezruče
U Jánského dvora
Stanislava Kostky Neumanna
třída 1. máje
J. A. Komenského
Sídliště 17. dubna
U struhy I.
U struhy II.
U Staré brány
Náměstí 9. května
Sad 5. května
Jindřicha z Lipé
Jiřího z Poděbrad
Na Ptačí louce
Pod Holým vrchem
Roháče z Dubé
U Obecního lesa
U Vodního hradu
Dalibora z Myšlína
Jiřího z Poděbrad
Krále Václava II.
Krále Václava IV.
S. K. Neumanna
U Nového rybníka
K. H. Máchy
Zdislavy z Lemberka
nám. 1. máje
náměstí Čsl. armády
náměstí J. Fučíka
Pod Křížovým vrchem
Sídliště pod Ralskem
U Starého divadla
U Starého hřbitova
Náměstí 5. května
Petra z Lindy
nám. Bratří Čapků
L. M. Pařízka
E. E. Kische
Na Děkanských polích
J. B. Foerstera
J. K. Chmelenského
J. Š. Baara
Jiřího z Poděbrad
K. V. Raise
L. B. Schneidera
Mikuláše z Husi
Na Mlýnské stoce
Na Zlaté stoce
P. J. Šafaříka
Roháče z Dubé
S. K. Neumanna
tř. 28. října
tř. Čsl. legií
U Černé věže
U Červeného dvora
U Tří dubů
U Tří lvů
U Zimního stadionu
V Hluboké cestě
Na Dlouhé louce
F. A. Gerstnera
U Domova důchodců
nám. Čsl. armády
třída 5. května
mjr. Karla Černého
nám. P. Bezruče
Na staré cestě
náměstí Šimona Lomnického
J. A. Komenského
Nábřeží Svat. Čecha
Nábřeží 5. května
tř. 5. května
T. G. Masaryka
Pod Sv. Duchem
U Nových domovů
U Sáňkařské dráhy
U Zelené ratolesti
Karlovy dvory I
Pod Táborským vrchem
Náměstí 28. října
2. polské armády
J. z Poděbrad
J. Š. Baara
K. H. Borovského
Nám. 5. května
U Starého Mostu
K. H. Máchy
Ke stříbrnému dolu
Slovenského nár. povstání
2. polské armády
Třída 9. května
Dr. Edvarda Beneše
Dr. Milady Horákové
Jiřího z Poděbrad
J. K. Tyla
K. H. Borovského
K. H. Máchy
T. G. Masaryka
Stanislava Kostky Neumanna
Jiřího z Poděbrad
Nám. E. Beneše
T. G. Masaryka
U Městského statku
Msgre. B. Staška
JUDr. A. Žlábka
Npor. O. Bartoška
náměstí Na Výhledech
náměstí 5. května
Pod Makovým vrchem
třída 1. máje
Dr. E. Beneše
sady Petra Bezruče
nám. prof. Žákavce
U staré fary
U Čermenského lesíka
U Tří lip
K Svaté vodě
Čs. červeného kříže
Dr. Antonína Vaculíka
I. J. Pešiny
I. P. Pavlova
J. E. Purkyně
Jiřího z Poděbrad
Josefa Václava Sládka
Karla Hynka Máchy
8. pěšího pluku
Dr. M. Tyrše
Stanislava Kostky Neumanna
U Staré pošty
Josefa Kajetána Tyla
Panské Nové Dvory
Na Nový svět
U Černého lesa
U Nového lesa
Ke Starému mlýnu
U Alejského dvora
Na Novém poli
U Mateřské školy
U Nového lesa
U Společenského domu
U Staré školy
P. F. Ledvinky
Roháče z Dubé
U Nové silnice
Npor. Jana Lašky
U Sv. Jána
F. X. Svobody
F. X. Šaldy
Hromádky z Jistebnice
Ke Stříbrnému dolci
Trčků z Lípy
U Čížkovy studánky
Za Starým hřištěm
Ke Třem křížům
Nám. Jana Zrzavého
Z. M. Kuděje
nám. Sv. Jiljí
J. J. Staňka
F. A. Jelínka
nám. 9. května
K. H. Borovského
K. V. Raise
P. O. Hviezdoslava
Pod St. hradem
U Zdravotního střediska
Str. domky ČSD
třída Bří Čapků
tř. Dukelských hrdinů
nám. 17. listopadu
nám. B. Martinů
U Červených domků
Sídliště M. Švabinského
Sídliště Za Stadionem
Sídliště U Vodojemu
U Lidového domu
U Staré šachty
Jiřího z Poděbrad
nám. 17. listopadu
U Plavebního kanálu
J. E. Purkyně
náměstí 24. dubna
park Petra Bezruče
Pplk. Vlad. Štěrby
třída Karla IV.
Karla Hynka Máchy
třída Edvarda Beneše
nábřeží U Přívozu
U Kulturního domu
M. D. Rettigové
náměstí 28. října
náměstí 5. května
S. K. Neumanna
Nábřeží Julia Fučíka
Slovenského národního povstání
U Starého hradu
Za Kulturním domem
Alberto Vojtěcha Friče
Dr. A. Dvořáka
Dr. J. Baráka
Dr. J. Ezopa
Dr. Jana Deyla
Dr. K. Englera
Dr. M. Tyrše
J. E. Purkyně
K. J. Erbena
K. V. Raise
Na Staré Cidlině
Dr. M. Horákové
Třída B. Smetany
Třída Čsl. armády
V. Kl. Klicpery
F. L. Čelakovského
Náměstí Prof. Babáka
J. A. Komenského
U dolního mlýna
U Lipového dvora
U st. nádraží
Dvůr pod lipami
Na Červeném vrchu
náměstí Prokopa Holého
náměstí Baltazara Neumanna
Trčky z Lípy
Za Mostní branou
J. E. Purkyně
nám. 5. května
Na Voře dole
Na Voře nahoře
U Ploché dráhy
K Malé Hleďsebi
nám. 5. května
Jakoubka ze Stříbra
náměstí 1. Máje
náměstí Dr. Beneše
Št. kpt. Kouby
Tomáše ze Štítného
U Městských mlýnů
U Větrného mlýna
J. B. Foerstera
J. K. Tyla
K. H. Máchy
T. G. Masaryka
Jana Ámose Komenského
nám. J. Švermy
nám. Gen. Svobody
